"","precision","recall","tp","fp","tn","fn"
"1",0.737135771853689,0.694509345794392,1189,424,52729,523
"2",0.820719889247808,0.831852198316183,3557,777,49812,719
"3",0.862986168577846,0.878459687123947,7300,1159,45396,1010
"4",0.902730562561684,0.900853578463559,8232,887,44840,906
"5",0.936510221710337,0.928357356928786,13010,882,39969,1004
"6",0.952778180763093,0.959389379884596,13135,651,40523,556
"7",0.959584926269798,0.943609022556391,3514,148,50993,210
